neighborhood,home_type,predicted_price
Upper West Side,Triplex,6849940.14286
Upper West Side,Mobile,2123151.03595
Washington Heights,MultiFamily2To4,2444801.44286
Washington Heights,Cooperative,10026044.8
Washington Heights,Condominium,937134.307143
Washington Heights,SingleFamily,3038745.97143
Washington Heights,Duplex,2589716.17615
Washington Heights,Townhouse,3196687.30551
Washington Heights,Quadruplex,2984296.34286
Washington Heights,Triplex,2697005.22
Washington Heights,Miscellaneous,1041721.45714
West Village,MultiFamily2To4,2417984.5501
West Village,Apartment - 1 bedrooms,1242043.0894
West Village,Cooperative,7745719.2
West Village,Unknown,1353796.75468
West Village,Condominium,5269876.74286
West Village,SingleFamily,10613247.6143
West Village,Duplex,9985001.61429
West Village,Townhouse,10615936.0571
West Village,Quadruplex,9320159.22101
West Village,Triplex,11039164.4714
Yorkville,MultiFamily2To4,1577226.0154
Yorkville,Cooperative,8725853.61429
Yorkville,Condominium,2895787.02857
Yorkville,SingleFamily,7480186.87143
Yorkville,Duplex,3045364.53214
Yorkville,Townhouse,6886668.02857
Yorkville,Quadruplex,5983157.14286
Yorkville,Triplex,2736626.1675
Battery Park,Apartment - 2 bedrooms,1865462.86431
Carnegie Hill,Apartment - 2 bedrooms,1434476.84286
Chelsea,Apartment - 2 bedrooms,1524221.53166
Chinatown,Apartment - 2 bedrooms,1748287.14045
Clinton,Apartment - 2 bedrooms,1565073.71991
East Village,Apartment - 2 bedrooms,1283949.56522
Financial District,Apartment - 2 bedrooms,1389670.93201
Gramercy,Apartment - 2 bedrooms,1638475.88103
Greenwich Village,Apartment - 2 bedrooms,2123782.31613
Hamilton Heights,Apartment - 2 bedrooms,905517.884602
Harlem,Apartment - 2 bedrooms,1650601.26429
Little Italy,Apartment - 2 bedrooms,1390024.83456
Lower East Side,Apartment - 2 bedrooms,1431968.78806
Midtown,Apartment - 2 bedrooms,1682735.30788
Murray Hill,Apartment - 2 bedrooms,3570557.98571
Soho,Apartment - 2 bedrooms,3806434.9
Tribeca,Apartment - 2 bedrooms,15813339.7357
Upper East Side,Apartment - 2 bedrooms,1310211.88571
Upper West Side,Apartment - 2 bedrooms,1880184.08692
West Village,Apartment - 2 bedrooms,1618249.75548
Battery Park,Apartment - 3 bedrooms,1944768.68786
Carnegie Hill,Apartment - 3 bedrooms,1467548.38571
Chelsea,Apartment - 3 bedrooms,1581677.23166
Chinatown,Apartment - 3 bedrooms,1883287.77568
Clinton,Apartment - 3 bedrooms,1704652.71427
East Village,Apartment - 3 bedrooms,1312350.41452
Financial District,Apartment - 3 bedrooms,1588209.56623
Gramercy,Apartment - 3 bedrooms,1793629.4299
Greenwich Village,Apartment - 3 bedrooms,2275656.34058
Hamilton Heights,Apartment - 3 bedrooms,944961.544919
Harlem,Apartment - 3 bedrooms,1680432.47143
Little Italy,Apartment - 3 bedrooms,1636076.1667
Lower East Side,Apartment - 3 bedrooms,1543488.3161
Midtown,Apartment - 3 bedrooms,1684252.16946
Murray Hill,Apartment - 3 bedrooms,4044222.15714
Soho,Apartment - 3 bedrooms,3773683.27143
Tribeca,Apartment - 3 bedrooms,16091219.4214
Upper East Side,Apartment - 3 bedrooms,1373939.04286
Upper West Side,Apartment - 3 bedrooms,1988309.54181
West Village,Apartment - 3 bedrooms,1795907.6822
